:Data_list: 20120607_Gp_xr_1m.txt
:Created: 2012 Jun 08 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2012 06 07  0000   56085      0     3.53e-08    1.03e-06
2012 06 07  0001   56085     60     3.24e-08    1.02e-06
2012 06 07  0002   56085    120     2.85e-08    9.69e-07
2012 06 07  0003   56085    180     2.37e-08    9.25e-07
2012 06 07  0004   56085    240     2.04e-08    8.79e-07
2012 06 07  0005   56085    300     1.52e-08    8.41e-07
2012 06 07  0006   56085    360     2.05e-08    8.82e-07
2012 06 07  0007   56085    420     3.25e-08    9.99e-07
2012 06 07  0008   56085    480     3.14e-08    9.92e-07
2012 06 07  0009   56085    540     4.42e-08    1.06e-06
2012 06 07  0010   56085    600     5.94e-08    1.18e-06
2012 06 07  0011   56085    660     7.35e-08    1.24e-06
2012 06 07  0012   56085    720     8.73e-08    1.31e-06
2012 06 07  0013   56085    780     1.15e-07    1.49e-06
2012 06 07  0014   56085    840     1.34e-07    1.65e-06
2012 06 07  0015   56085    900     1.33e-07    1.69e-06
2012 06 07  0016   56085    960     1.24e-07    1.66e-06
2012 06 07  0017   56085   1020     1.10e-07    1.59e-06
2012 06 07  0018   56085   1080     1.02e-07    1.55e-06
2012 06 07  0019   56085   1140     8.86e-08    1.52e-06
2012 06 07  0020   56085   1200     7.94e-08    1.48e-06
2012 06 07  0021   56085   1260     7.15e-08    1.46e-06
2012 06 07  0022   56085   1320     6.41e-08    1.43e-06
2012 06 07  0023   56085   1380     5.80e-08    1.39e-06
2012 06 07  0024   56085   1440     5.16e-08    1.36e-06
2012 06 07  0025   56085   1500     4.71e-08    1.33e-06
2012 06 07  0026   56085   1560     4.30e-08    1.30e-06
2012 06 07  0027   56085   1620     3.98e-08    1.27e-06
2012 06 07  0028   56085   1680     3.66e-08    1.24e-06
2012 06 07  0029   56085   1740     3.19e-08    1.21e-06
2012 06 07  0030   56085   1800     2.83e-08    1.18e-06
2012 06 07  0031   56085   1860     2.45e-08    1.14e-06
2012 06 07  0032   56085   1920     2.36e-08    1.10e-06
2012 06 07  0033   56085   1980     1.90e-08    1.08e-06
2012 06 07  0034   56085   2040     2.05e-08    1.07e-06
2012 06 07  0035   56085   2100     1.98e-08    1.06e-06
2012 06 07  0036   56085   2160     2.00e-08    1.07e-06
2012 06 07  0037   56085   2220     2.65e-08    1.10e-06
2012 06 07  0038   56085   2280     3.13e-08    1.14e-06
2012 06 07  0039   56085   2340     3.49e-08    1.18e-06
2012 06 07  0040   56085   2400     3.69e-08    1.20e-06
2012 06 07  0041   56085   2460     3.84e-08    1.21e-06
2012 06 07  0042   56085   2520     3.54e-08    1.20e-06
2012 06 07  0043   56085   2580     3.37e-08    1.18e-06
2012 06 07  0044   56085   2640     2.89e-08    1.14e-06
2012 06 07  0045   56085   2700     2.36e-08    1.11e-06
2012 06 07  0046   56085   2760     2.14e-08    1.08e-06
2012 06 07  0047   56085   2820     2.29e-08    1.06e-06
2012 06 07  0048   56085   2880     1.78e-08    1.02e-06
2012 06 07  0049   56085   2940     1.56e-08    9.98e-07
2012 06 07  0050   56085   3000     1.56e-08    9.78e-07
2012 06 07  0051   56085   3060     1.78e-08    9.60e-07
2012 06 07  0052   56085   3120     1.66e-08    9.45e-07
2012 06 07  0053   56085   3180     1.70e-08    9.32e-07
2012 06 07  0054   56085   3240     1.51e-08    9.16e-07
2012 06 07  0055   56085   3300     1.47e-08    9.06e-07
2012 06 07  0056   56085   3360     1.51e-08    9.03e-07
2012 06 07  0057   56085   3420     1.35e-08    8.86e-07
2012 06 07  0058   56085   3480     1.23e-08    8.68e-07
2012 06 07  0059   56085   3540     1.17e-08    8.53e-07
2012 06 07  0100   56085   3600     1.21e-08    8.53e-07
2012 06 07  0101   56085   3660     1.13e-08    8.33e-07
2012 06 07  0102   56085   3720     1.15e-08    8.22e-07
2012 06 07  0103   56085   3780     1.17e-08    8.10e-07
2012 06 07  0104   56085   3840     9.71e-09    7.93e-07
2012 06 07  0105   56085   3900     8.99e-09    7.74e-07
2012 06 07  0106   56085   3960     9.48e-09    7.65e-07
2012 06 07  0107   56085   4020     9.29e-09    7.49e-07
2012 06 07  0108   56085   4080     1.07e-08    7.27e-07
2012 06 07  0109   56085   4140     9.66e-09    7.13e-07
2012 06 07  0110   56085   4200     8.56e-09    7.14e-07
2012 06 07  0111   56085   4260     9.17e-09    7.20e-07
2012 06 07  0112   56085   4320     1.08e-08    7.25e-07
2012 06 07  0113   56085   4380     1.15e-08    7.37e-07
2012 06 07  0114   56085   4440     1.36e-08    7.54e-07
2012 06 07  0115   56085   4500     1.32e-08    7.72e-07
2012 06 07  0116   56085   4560     1.44e-08    7.64e-07
2012 06 07  0117   56085   4620     1.40e-08    7.50e-07
2012 06 07  0118   56085   4680     1.22e-08    7.42e-07
2012 06 07  0119   56085   4740     1.04e-08    7.36e-07
2012 06 07  0120   56085   4800     9.17e-09    7.27e-07
2012 06 07  0121   56085   4860     9.13e-09    7.23e-07
2012 06 07  0122   56085   4920     8.88e-09    7.17e-07
2012 06 07  0123   56085   4980     1.17e-08    7.16e-07
2012 06 07  0124   56085   5040     1.36e-08    7.25e-07
2012 06 07  0125   56085   5100     1.09e-08    7.18e-07
2012 06 07  0126   56085   5160     9.83e-09    7.00e-07
2012 06 07  0127   56085   5220     8.75e-09    6.82e-07
2012 06 07  0128   56085   5280     8.44e-09    6.71e-07
2012 06 07  0129   56085   5340     9.22e-09    6.69e-07
2012 06 07  0130   56085   5400     9.33e-09    6.63e-07
2012 06 07  0131   56085   5460     6.44e-09    6.59e-07
2012 06 07  0132   56085   5520     5.69e-09    6.52e-07
2012 06 07  0133   56085   5580     7.37e-09    6.45e-07
2012 06 07  0134   56085   5640     7.37e-09    6.38e-07
2012 06 07  0135   56085   5700     7.95e-09    6.32e-07
2012 06 07  0136   56085   5760     7.37e-09    6.28e-07
2012 06 07  0137   56085   5820     7.48e-09    6.25e-07
2012 06 07  0138   56085   5880     9.06e-09    6.27e-07
2012 06 07  0139   56085   5940     1.04e-08    6.23e-07
2012 06 07  0140   56085   6000     9.63e-09    6.24e-07
2012 06 07  0141   56085   6060     9.75e-09    6.22e-07
2012 06 07  0142   56085   6120     7.36e-09    6.19e-07
2012 06 07  0143   56085   6180     8.29e-09    6.19e-07
2012 06 07  0144   56085   6240     8.37e-09    6.23e-07
2012 06 07  0145   56085   6300     8.02e-09    6.28e-07
2012 06 07  0146   56085   6360     6.62e-09    6.37e-07
2012 06 07  0147   56085   6420     8.06e-09    6.41e-07
2012 06 07  0148   56085   6480     8.33e-09    6.53e-07
2012 06 07  0149   56085   6540     9.74e-09    6.87e-07
2012 06 07  0150   56085   6600     1.30e-08    7.20e-07
2012 06 07  0151   56085   6660     1.95e-08    7.91e-07
2012 06 07  0152   56085   6720     2.38e-08    8.69e-07
2012 06 07  0153   56085   6780     3.06e-08    9.39e-07
2012 06 07  0154   56085   6840     3.40e-08    1.00e-06
2012 06 07  0155   56085   6900     3.22e-08    1.03e-06
2012 06 07  0156   56085   6960     2.95e-08    1.03e-06
2012 06 07  0157   56085   7020     3.23e-08    1.07e-06
2012 06 07  0158   56085   7080     3.62e-08    1.09e-06
2012 06 07  0159   56085   7140     3.47e-08    1.09e-06
2012 06 07  0200   56085   7200     2.99e-08    1.06e-06
2012 06 07  0201   56085   7260     2.85e-08    1.05e-06
2012 06 07  0202   56085   7320     2.99e-08    1.04e-06
2012 06 07  0203   56085   7380     2.56e-08    1.00e-06
2012 06 07  0204   56085   7440     2.25e-08    9.60e-07
2012 06 07  0205   56085   7500     1.99e-08    9.15e-07
2012 06 07  0206   56085   7560     1.78e-08    8.81e-07
2012 06 07  0207   56085   7620     1.69e-08    8.60e-07
2012 06 07  0208   56085   7680     1.42e-08    8.44e-07
2012 06 07  0209   56085   7740     1.30e-08    8.25e-07
2012 06 07  0210   56085   7800     1.26e-08    8.10e-07
2012 06 07  0211   56085   7860     1.22e-08    7.91e-07
2012 06 07  0212   56085   7920     1.07e-08    7.71e-07
2012 06 07  0213   56085   7980     9.75e-09    7.55e-07
2012 06 07  0214   56085   8040     9.63e-09    7.39e-07
2012 06 07  0215   56085   8100     8.40e-09    7.21e-07
2012 06 07  0216   56085   8160     8.66e-09    7.06e-07
2012 06 07  0217   56085   8220     7.67e-09    6.98e-07
2012 06 07  0218   56085   8280     9.25e-09    6.95e-07
2012 06 07  0219   56085   8340     9.77e-09    6.88e-07
2012 06 07  0220   56085   8400     9.02e-09    6.77e-07
2012 06 07  0221   56085   8460     6.91e-09    6.75e-07
2012 06 07  0222   56085   8520     7.02e-09    6.80e-07
2012 06 07  0223   56085   8580     8.70e-09    7.07e-07
2012 06 07  0224   56085   8640     1.22e-08    7.53e-07
2012 06 07  0225   56085   8700     1.76e-08    8.08e-07
2012 06 07  0226   56085   8760     2.33e-08    8.69e-07
2012 06 07  0227   56085   8820     2.49e-08    9.23e-07
2012 06 07  0228   56085   8880     2.63e-08    9.62e-07
2012 06 07  0229   56085   8940     2.76e-08    1.01e-06
2012 06 07  0230   56085   9000     2.95e-08    1.04e-06
2012 06 07  0231   56085   9060     2.97e-08    1.07e-06
2012 06 07  0232   56085   9120     3.19e-08    1.08e-06
2012 06 07  0233   56085   9180     3.61e-08    1.12e-06
2012 06 07  0234   56085   9240     4.00e-08    1.16e-06
2012 06 07  0235   56085   9300     3.97e-08    1.18e-06
2012 06 07  0236   56085   9360     3.62e-08    1.17e-06
2012 06 07  0237   56085   9420     3.72e-08    1.20e-06
2012 06 07  0238   56085   9480     3.92e-08    1.26e-06
2012 06 07  0239   56085   9540     4.03e-08    1.28e-06
2012 06 07  0240   56085   9600     3.77e-08    1.28e-06
