:Data_list: 20120620_Gp_xr_1m.txt
:Created: 2012 Jun 21 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2012 06 20  0000   56098      0     3.83e-09    3.17e-07
2012 06 20  0001   56098     60     4.69e-09    3.15e-07
2012 06 20  0002   56098    120     2.87e-09    3.09e-07
2012 06 20  0003   56098    180     1.76e-09    3.09e-07
2012 06 20  0004   56098    240     1.04e-09    3.10e-07
2012 06 20  0005   56098    300     1.02e-09    3.10e-07
2012 06 20  0006   56098    360     1.00e-09    3.10e-07
2012 06 20  0007   56098    420     1.00e-09    3.12e-07
2012 06 20  0008   56098    480     2.14e-09    3.14e-07
2012 06 20  0009   56098    540     2.87e-09    3.17e-07
2012 06 20  0010   56098    600     2.91e-09    3.19e-07
2012 06 20  0011   56098    660     5.83e-09    3.19e-07
2012 06 20  0012   56098    720     2.79e-09    3.20e-07
2012 06 20  0013   56098    780     3.45e-09    3.15e-07
2012 06 20  0014   56098    840     2.02e-09    3.14e-07
2012 06 20  0015   56098    900     1.63e-09    3.23e-07
2012 06 20  0016   56098    960     3.79e-09    3.25e-07
2012 06 20  0017   56098   1020     3.98e-09    3.29e-07
2012 06 20  0018   56098   1080     3.42e-09    3.40e-07
2012 06 20  0019   56098   1140     5.14e-09    3.58e-07
2012 06 20  0020   56098   1200     4.83e-09    3.76e-07
2012 06 20  0021   56098   1260     5.94e-09    3.89e-07
2012 06 20  0022   56098   1320     4.46e-09    3.90e-07
2012 06 20  0023   56098   1380     5.25e-09    3.90e-07
2012 06 20  0024   56098   1440     5.14e-09    3.86e-07
2012 06 20  0025   56098   1500     5.91e-09    3.77e-07
2012 06 20  0026   56098   1560     6.56e-09    3.74e-07
2012 06 20  0027   56098   1620     4.79e-09    3.75e-07
2012 06 20  0028   56098   1680     4.65e-09    3.71e-07
2012 06 20  0029   56098   1740     5.02e-09    3.68e-07
2012 06 20  0030   56098   1800     2.92e-09    3.62e-07
2012 06 20  0031   56098   1860     3.10e-09    3.60e-07
2012 06 20  0032   56098   1920     3.50e-09    3.57e-07
2012 06 20  0033   56098   1980     3.49e-09    3.52e-07
2012 06 20  0034   56098   2040     3.68e-09    3.50e-07
2012 06 20  0035   56098   2100     4.61e-09    3.45e-07
2012 06 20  0036   56098   2160     3.37e-09    3.43e-07
2012 06 20  0037   56098   2220     4.22e-09    3.38e-07
2012 06 20  0038   56098   2280     2.43e-09    3.37e-07
2012 06 20  0039   56098   2340     1.99e-09    3.38e-07
2012 06 20  0040   56098   2400     3.87e-09    3.33e-07
2012 06 20  0041   56098   2460     1.98e-09    3.28e-07
2012 06 20  0042   56098   2520     1.79e-09    3.25e-07
