:Data_list: 20120617_Gp_xr_1m.txt
:Created: 2012 Jun 18 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2012 06 17  0000   56095      0     9.81e-09    7.82e-07
2012 06 17  0001   56095     60     1.26e-08    7.94e-07
2012 06 17  0002   56095    120     1.36e-08    7.99e-07
2012 06 17  0003   56095    180     1.35e-08    8.02e-07
2012 06 17  0004   56095    240     1.01e-08    8.11e-07
2012 06 17  0005   56095    300     9.94e-09    8.22e-07
2012 06 17  0006   56095    360     1.04e-08    8.31e-07
2012 06 17  0007   56095    420     1.12e-08    8.19e-07
2012 06 17  0008   56095    480     1.09e-08    8.15e-07
2012 06 17  0009   56095    540     1.30e-08    8.20e-07
2012 06 17  0010   56095    600     1.33e-08    8.18e-07
2012 06 17  0011   56095    660     1.39e-08    8.17e-07
2012 06 17  0012   56095    720     1.61e-08    8.14e-07
2012 06 17  0013   56095    780     1.46e-08    8.11e-07
2012 06 17  0014   56095    840     1.21e-08    8.09e-07
2012 06 17  0015   56095    900     1.15e-08    8.07e-07
2012 06 17  0016   56095    960     1.33e-08    8.12e-07
2012 06 17  0017   56095   1020     1.36e-08    8.18e-07
2012 06 17  0018   56095   1080     1.58e-08    8.27e-07
2012 06 17  0019   56095   1140     1.58e-08    8.39e-07
2012 06 17  0020   56095   1200     1.69e-08    8.53e-07
2012 06 17  0021   56095   1260     1.72e-08    8.57e-07
2012 06 17  0022   56095   1320     1.45e-08    8.62e-07
2012 06 17  0023   56095   1380     1.52e-08    8.63e-07
2012 06 17  0024   56095   1440     1.39e-08    8.62e-07
2012 06 17  0025   56095   1500     1.34e-08    8.57e-07
2012 06 17  0026   56095   1560     1.57e-08    8.62e-07
2012 06 17  0027   56095   1620     1.57e-08    8.67e-07
2012 06 17  0028   56095   1680     1.43e-08    8.73e-07
2012 06 17  0029   56095   1740     1.37e-08    8.74e-07
2012 06 17  0030   56095   1800     1.17e-08    8.74e-07
2012 06 17  0031   56095   1860     1.22e-08    8.72e-07
2012 06 17  0032   56095   1920     1.07e-08    8.68e-07
2012 06 17  0033   56095   1980     9.59e-09    8.66e-07
2012 06 17  0034   56095   2040     8.83e-09    8.76e-07
2012 06 17  0035   56095   2100     8.25e-09    8.78e-07
2012 06 17  0036   56095   2160     8.52e-09    8.75e-07
2012 06 17  0037   56095   2220     1.05e-08    8.73e-07
