:Data_list: 20120628_Gp_xr_1m.txt
:Created: 2012 Jun 29 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2012 06 28  0000   56106      0     2.43e-09    3.94e-07
2012 06 28  0001   56106     60     3.25e-09    4.18e-07
2012 06 28  0002   56106    120     4.50e-09    4.40e-07
2012 06 28  0003   56106    180     5.29e-09    4.48e-07
2012 06 28  0004   56106    240     4.02e-09    4.45e-07
2012 06 28  0005   56106    300     2.17e-09    4.32e-07
2012 06 28  0006   56106    360     1.00e-09    4.14e-07
2012 06 28  0007   56106    420     1.02e-09    3.98e-07
2012 06 28  0008   56106    480     1.79e-09    3.91e-07
2012 06 28  0009   56106    540     3.99e-09    4.03e-07
2012 06 28  0010   56106    600     1.09e-08    4.53e-07
2012 06 28  0011   56106    660     7.90e-09    4.54e-07
2012 06 28  0012   56106    720     5.71e-09    4.46e-07
2012 06 28  0013   56106    780     5.47e-09    4.49e-07
2012 06 28  0014   56106    840     6.56e-09    4.77e-07
2012 06 28  0015   56106    900     9.36e-09    4.96e-07
2012 06 28  0016   56106    960     8.44e-09    5.06e-07
2012 06 28  0017   56106   1020     7.21e-09    4.91e-07
2012 06 28  0018   56106   1080     5.44e-09    4.71e-07
2012 06 28  0019   56106   1140     2.97e-09    4.51e-07
2012 06 28  0020   56106   1200     1.53e-09    4.37e-07
2012 06 28  0021   56106   1260     2.13e-09    4.28e-07
2012 06 28  0022   56106   1320     2.30e-09    4.28e-07
2012 06 28  0023   56106   1380     1.70e-09    4.18e-07
2012 06 28  0024   56106   1440     1.43e-09    4.10e-07
2012 06 28  0025   56106   1500     1.67e-09    4.11e-07
2012 06 28  0026   56106   1560     3.68e-09    4.24e-07
2012 06 28  0027   56106   1620     2.69e-09    4.03e-07
2012 06 28  0028   56106   1680     1.02e-09    3.87e-07
2012 06 28  0029   56106   1740     1.00e-09    3.72e-07
2012 06 28  0030   56106   1800     1.04e-09    3.72e-07
2012 06 28  0031   56106   1860     2.10e-09    3.79e-07
2012 06 28  0032   56106   1920     4.60e-09    3.90e-07
2012 06 28  0033   56106   1980     3.53e-09    4.12e-07
2012 06 28  0034   56106   2040     3.37e-09    4.31e-07
2012 06 28  0035   56106   2100     3.75e-09    4.23e-07
2012 06 28  0036   56106   2160     3.09e-09    4.25e-07
2012 06 28  0037   56106   2220     3.95e-09    4.43e-07
2012 06 28  0038   56106   2280     6.94e-09    4.87e-07
2012 06 28  0039   56106   2340     9.07e-09    5.07e-07
2012 06 28  0040   56106   2400     5.87e-09    4.95e-07
2012 06 28  0041   56106   2460     4.41e-09    4.70e-07
2012 06 28  0042   56106   2520     3.95e-09    4.46e-07
2012 06 28  0043   56106   2580     5.99e-09    4.24e-07
2012 06 28  0044   56106   2640     3.87e-09    4.08e-07
2012 06 28  0045   56106   2700     1.59e-09    3.97e-07
2012 06 28  0046   56106   2760     2.97e-09    3.93e-07
2012 06 28  0047   56106   2820     1.00e-09    3.84e-07
2012 06 28  0048   56106   2880     1.10e-09    3.87e-07
2012 06 28  0049   56106   2940     2.04e-09    3.85e-07
2012 06 28  0050   56106   3000     1.46e-09    3.83e-07
2012 06 28  0051   56106   3060     1.42e-09    3.94e-07
2012 06 28  0052   56106   3120     3.25e-09    4.02e-07
2012 06 28  0053   56106   3180     4.48e-09    4.08e-07
2012 06 28  0054   56106   3240     4.14e-09    3.97e-07
2012 06 28  0055   56106   3300     4.64e-09    3.91e-07
2012 06 28  0056   56106   3360     3.11e-09    3.91e-07
2012 06 28  0057   56106   3420     2.44e-09    3.86e-07
2012 06 28  0058   56106   3480     1.37e-09    3.82e-07
2012 06 28  0059   56106   3540     1.10e-09    3.78e-07
2012 06 28  0100   56106   3600     1.06e-09    3.70e-07
2012 06 28  0101   56106   3660     1.04e-09    3.66e-07
2012 06 28  0102   56106   3720     1.16e-09    3.64e-07
2012 06 28  0103   56106   3780     1.19e-09    3.59e-07
2012 06 28  0104   56106   3840     1.00e-09    3.54e-07
2012 06 28  0105   56106   3900     1.00e-09    3.53e-07
2012 06 28  0106   56106   3960     1.04e-09    3.52e-07
2012 06 28  0107   56106   4020     1.00e-09    3.48e-07
2012 06 28  0108   56106   4080     1.02e-09    3.49e-07
2012 06 28  0109   56106   4140     1.04e-09    3.41e-07
2012 06 28  0110   56106   4200     1.00e-09    3.42e-07
2012 06 28  0111   56106   4260     1.08e-09    3.40e-07
2012 06 28  0112   56106   4320     1.18e-09    3.38e-07
2012 06 28  0113   56106   4380     1.38e-09    3.31e-07
2012 06 28  0114   56106   4440     1.00e-09    3.28e-07
2012 06 28  0115   56106   4500     1.00e-09    3.24e-07
2012 06 28  0116   56106   4560     1.00e-09    3.21e-07
2012 06 28  0117   56106   4620     1.00e-09    3.24e-07
2012 06 28  0118   56106   4680     1.02e-09    3.19e-07
2012 06 28  0119   56106   4740     1.00e-09    3.17e-07
2012 06 28  0120   56106   4800     2.76e-09    3.32e-07
2012 06 28  0121   56106   4860     6.52e-09    3.68e-07
2012 06 28  0122   56106   4920     1.03e-08    3.98e-07
2012 06 28  0123   56106   4980     1.46e-08    4.46e-07
2012 06 28  0124   56106   5040     1.33e-08    4.55e-07
2012 06 28  0125   56106   5100     6.71e-09    4.29e-07
2012 06 28  0126   56106   5160     4.79e-09    4.12e-07
2012 06 28  0127   56106   5220     1.84e-09    4.04e-07
2012 06 28  0128   56106   5280     1.31e-09    3.83e-07
2012 06 28  0129   56106   5340     1.60e-09    3.76e-07
2012 06 28  0130   56106   5400     3.09e-09    3.77e-07
2012 06 28  0131   56106   5460     3.67e-09    3.83e-07
2012 06 28  0132   56106   5520     1.41e-09    3.77e-07
2012 06 28  0133   56106   5580     1.43e-09    3.77e-07
2012 06 28  0134   56106   5640     1.44e-09    3.73e-07
2012 06 28  0135   56106   5700     1.58e-09    3.71e-07
2012 06 28  0136   56106   5760     2.88e-09    3.69e-07
2012 06 28  0137   56106   5820     3.50e-09    3.77e-07
2012 06 28  0138   56106   5880     4.18e-09    3.94e-07
2012 06 28  0139   56106   5940     2.15e-09    4.10e-07
2012 06 28  0140   56106   6000     6.39e-09    4.30e-07
2012 06 28  0141   56106   6060     7.17e-09    4.47e-07
2012 06 28  0142   56106   6120     9.02e-09    4.58e-07
2012 06 28  0143   56106   6180     5.28e-09    4.63e-07
2012 06 28  0144   56106   6240     5.83e-09    4.74e-07
2012 06 28  0145   56106   6300     4.83e-09    4.82e-07
2012 06 28  0146   56106   6360     4.48e-09    4.84e-07
2012 06 28  0147   56106   6420     9.89e-09    5.22e-07
2012 06 28  0148   56106   6480     1.93e-08    6.05e-07
2012 06 28  0149   56106   6540     2.40e-08    6.84e-07
2012 06 28  0150   56106   6600     3.07e-08    7.59e-07
2012 06 28  0151   56106   6660     4.15e-08    8.50e-07
2012 06 28  0152   56106   6720     5.36e-08    9.58e-07
2012 06 28  0153   56106   6780     6.14e-08    1.06e-06
2012 06 28  0154   56106   6840     6.01e-08    1.07e-06
2012 06 28  0155   56106   6900     5.75e-08    1.07e-06
2012 06 28  0156   56106   6960     5.42e-08    1.05e-06
2012 06 28  0157   56106   7020     4.92e-08    1.03e-06
2012 06 28  0158   56106   7080     4.38e-08    1.01e-06
2012 06 28  0159   56106   7140     3.81e-08    9.78e-07
2012 06 28  0200   56106   7200     3.36e-08    9.32e-07
2012 06 28  0201   56106   7260     2.79e-08    8.82e-07
2012 06 28  0202   56106   7320     2.10e-08    8.40e-07
2012 06 28  0203   56106   7380     1.72e-08    8.04e-07
2012 06 28  0204   56106   7440     1.47e-08    7.77e-07
2012 06 28  0205   56106   7500     1.34e-08    7.51e-07
2012 06 28  0206   56106   7560     1.29e-08    7.34e-07
2012 06 28  0207   56106   7620     1.32e-08    7.63e-07
2012 06 28  0208   56106   7680     1.38e-08    7.40e-07
2012 06 28  0209   56106   7740     1.34e-08    7.14e-07
2012 06 28  0210   56106   7800     1.14e-08    6.96e-07
2012 06 28  0211   56106   7860     2.35e-08    7.82e-07
2012 06 28  0212   56106   7920     1.55e-07    1.55e-06
2012 06 28  0213   56106   7980     3.72e-07    2.52e-06
