:Data_list: 20120629_Gp_xr_1m.txt
:Created: 2012 Jun 30 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2012 06 29  0000   56107      0     1.00e-09    3.19e-07
2012 06 29  0001   56107     60     1.00e-09    3.17e-07
2012 06 29  0002   56107    120     1.04e-09    3.23e-07
2012 06 29  0003   56107    180     1.00e-09    3.22e-07
2012 06 29  0004   56107    240     1.14e-09    3.43e-07
2012 06 29  0005   56107    300     1.68e-09    3.42e-07
2012 06 29  0006   56107    360     1.23e-09    3.48e-07
2012 06 29  0007   56107    420     1.59e-09    3.49e-07
2012 06 29  0008   56107    480     1.06e-09    3.65e-07
2012 06 29  0009   56107    540     1.04e-09    3.90e-07
2012 06 29  0010   56107    600     1.00e-09    3.97e-07
2012 06 29  0011   56107    660     1.00e-09    3.92e-07
2012 06 29  0012   56107    720     2.00e-09    3.92e-07
2012 06 29  0013   56107    780     1.00e-09    3.79e-07
2012 06 29  0014   56107    840     1.00e-09    3.73e-07
2012 06 29  0015   56107    900     1.00e-09    3.69e-07
2012 06 29  0016   56107    960     1.00e-09    3.62e-07
2012 06 29  0017   56107   1020     1.16e-09    3.68e-07
2012 06 29  0018   56107   1080     1.00e-09    3.57e-07
2012 06 29  0019   56107   1140     1.00e-09    3.53e-07
2012 06 29  0020   56107   1200     1.33e-09    3.55e-07
2012 06 29  0021   56107   1260     3.69e-09    3.65e-07
2012 06 29  0022   56107   1320     4.25e-09    3.83e-07
2012 06 29  0023   56107   1380     5.84e-09    4.09e-07
2012 06 29  0024   56107   1440     6.02e-09    4.22e-07
2012 06 29  0025   56107   1500     9.48e-09    4.33e-07
2012 06 29  0026   56107   1560     7.79e-09    4.49e-07
2012 06 29  0027   56107   1620     5.99e-09    4.48e-07
2012 06 29  0028   56107   1680     5.18e-09    4.47e-07
2012 06 29  0029   56107   1740     2.12e-09    4.48e-07
2012 06 29  0030   56107   1800     4.57e-09    4.59e-07
2012 06 29  0031   56107   1860     6.10e-09    4.74e-07
2012 06 29  0032   56107   1920     8.63e-09    5.13e-07
2012 06 29  0033   56107   1980     1.18e-08    5.40e-07
2012 06 29  0034   56107   2040     2.30e-08    6.35e-07
2012 06 29  0035   56107   2100     3.19e-08    7.03e-07
2012 06 29  0036   56107   2160     7.78e-08    1.01e-06
2012 06 29  0037   56107   2220     1.34e-07    1.30e-06
2012 06 29  0038   56107   2280     1.18e-07    1.40e-06
2012 06 29  0039   56107   2340     7.80e-08    1.28e-06
2012 06 29  0040   56107   2400     4.24e-08    1.05e-06
2012 06 29  0041   56107   2460     2.20e-08    8.28e-07
2012 06 29  0042   56107   2520     1.15e-08    6.71e-07
2012 06 29  0043   56107   2580     7.66e-09    5.67e-07
2012 06 29  0044   56107   2640     4.14e-09    4.90e-07
2012 06 29  0045   56107   2700     3.06e-09    4.32e-07
2012 06 29  0046   56107   2760     3.16e-09    4.00e-07
2012 06 29  0047   56107   2820     5.80e-09    4.00e-07
2012 06 29  0048   56107   2880     3.66e-09    4.00e-07
2012 06 29  0049   56107   2940     3.69e-09    3.98e-07
2012 06 29  0050   56107   3000     1.08e-09    3.63e-07
2012 06 29  0051   56107   3060     1.00e-09    3.47e-07
2012 06 29  0052   56107   3120     1.08e-09    3.41e-07
2012 06 29  0053   56107   3180     1.39e-09    3.41e-07
2012 06 29  0054   56107   3240     1.04e-09    3.40e-07
2012 06 29  0055   56107   3300     2.48e-09    3.49e-07
2012 06 29  0056   56107   3360     1.00e-09    3.52e-07
2012 06 29  0057   56107   3420     1.00e-09    3.45e-07
2012 06 29  0058   56107   3480     1.00e-09    3.39e-07
2012 06 29  0059   56107   3540     1.00e-09    3.36e-07
2012 06 29  0100   56107   3600     1.52e-09    3.36e-07
2012 06 29  0101   56107   3660     2.01e-09    3.37e-07
2012 06 29  0102   56107   3720     1.23e-09    3.44e-07
2012 06 29  0103   56107   3780     1.16e-09    3.42e-07
2012 06 29  0104   56107   3840     2.82e-09    3.55e-07
2012 06 29  0105   56107   3900     1.58e-09    3.70e-07
2012 06 29  0106   56107   3960     1.33e-09    3.71e-07
2012 06 29  0107   56107   4020     1.00e-09    3.64e-07
2012 06 29  0108   56107   4080     1.00e-09    3.64e-07
2012 06 29  0109   56107   4140     1.00e-09    3.50e-07
2012 06 29  0110   56107   4200     1.00e-09    3.44e-07
2012 06 29  0111   56107   4260     1.00e-09    3.42e-07
2012 06 29  0112   56107   4320     1.00e-09    3.40e-07
2012 06 29  0113   56107   4380     1.00e-09    3.39e-07
2012 06 29  0114   56107   4440     1.08e-09    3.47e-07
2012 06 29  0115   56107   4500     1.28e-09    3.50e-07
2012 06 29  0116   56107   4560     1.00e-09    3.49e-07
2012 06 29  0117   56107   4620     1.02e-09    3.51e-07
2012 06 29  0118   56107   4680     1.00e-09    3.63e-07
2012 06 29  0119   56107   4740     1.40e-09    3.93e-07
2012 06 29  0120   56107   4800     3.38e-09    4.24e-07
2012 06 29  0121   56107   4860     1.85e-08    5.93e-07
2012 06 29  0122   56107   4920     7.85e-08    1.06e-06
2012 06 29  0123   56107   4980     5.81e-07    2.87e-06
